Designator,Mid X,Mid Y,Layer,Rotation
A1,-119.380000mm,-60.706000mm,top,90.000000
A2.1,-180.188000mm,-118.783000mm,bottom,-90.000000
A2.2,-202.028000mm,-118.783000mm,bottom,-90.000000
A2.3,-215.748000mm,-70.523000mm,bottom,90.000000
A2.4,-180.188000mm,-70.513000mm,bottom,-90.000000
U1.1,-89.538000mm,-125.733000mm,bottom,0.000000
U1.2,-74.298000mm,-97.793000mm,bottom,180.000000
U2.1,-112.398000mm,-125.733000mm,bottom,0.000000
U2.2,-97.158000mm,-97.793000mm,bottom,180.000000
U3.1,-135.268000mm,-125.733000mm,bottom,0.000000
U3.2,-120.028000mm,-97.793000mm,bottom,180.000000
U4.1,-158.118000mm,-125.723000mm,bottom,0.000000
U4.2,-142.878000mm,-97.793000mm,bottom,180.000000
A3.1,212.728000mm,-88.893000mm,top,-90.000000
A3.2,212.728000mm,-76.193000mm,top,-90.000000
A4.1,212.718000mm,-110.483000mm,top,-90.000000
A4.2,212.728000mm,-97.783000mm,top,-90.000000
C1,223.520000mm,-84.020000mm,top,90.000000
C2,223.520000mm,-105.410000mm,top,90.000000
J1,78.115000mm,-121.925000mm,top,90.000000
J2,78.115000mm,-101.605000mm,top,90.000000
J3,100.975000mm,-121.290000mm,top,90.000000
J4,100.975000mm,-101.600000mm,top,90.000000
J5,123.835000mm,-121.920000mm,top,90.000000
J6,123.825000mm,-101.630000mm,top,90.000000
J7,146.685000mm,-121.920000mm,top,90.000000
J8,146.685000mm,-101.600000mm,top,90.000000
J9,172.720000mm,-97.790000mm,top,90.000000
J10,236.220000mm,-80.030000mm,top,0.000000
J11,236.220000mm,-101.600000mm,top,0.000000
J12,172.720000mm,-87.630000mm,top,90.000000
J13,172.720000mm,-80.010000mm,top,90.000000
J14,243.840000mm,-71.120000mm,top,90.000000
J15,119.380000mm,-67.081000mm,top,-90.000000
J16,119.380000mm,-57.150000mm,top,-90.000000
J17,180.190000mm,-121.920000mm,top,90.000000
J18,202.030000mm,-121.920000mm,top,90.000000
J19,192.840000mm,-67.564000mm,top,-90.000000
Q1,172.720000mm,-110.490000mm,top,0.000000
