"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"B2,B1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"R";;;
2;"R2,R1";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";2;"R";;;
3;"A2.3,A2.1,J17";"PinHeader_1x08_P2.54mm_Vertical";3;"Add Conn";;;
4;"A2.4";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
5;"A2.2";"PinHeader_1x10_P2.54mm_Vertical";1;"Conn_01x10";;;
6;"A4.2,A4.1,A3.2,A3.1,U4.2,U3.2,U2.2,U1.2";"PinSocket_1x08_P2.54mm_Vertical";8;"Conn_01x08";;;
7;"U4.1,U3.1,U2.1,U1.1";"PinSocket_1x16_P2.54mm_Vertical";4;"Conn_01x16";;;
8;"J14";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"Barrel_Jack";;;
9;"J4,J2,J6,J3,J8,J5,J1,J7";"PinHeader_2x04_P2.54mm_Vertical";8;" ";;;
10;"J12";"PinHeader_1x02_P2.54mm_Vertical";1;"Endstop X";;;
11;"J15,J16";"PinSocket_1x20_P2.54mm_Vertical";2;"Add Conn";;;
12;"J19,J18";"PinHeader_1x06_P2.54mm_Vertical";2;"Add Conn";;;
13;"C1,C2";"CP_Radial_D5.0mm_P2.50mm";2;"100uF";;;
14;"J13";"PinHeader_1x02_P2.54mm_Vertical";1;"Endstop Y";;;
15;"J9";"PinHeader_1x02_P2.54mm_Vertical";1;"E_Magnet";;;
16;"RXD1";"TestPoint_Pad_D2.0mm";1;"RXD";;;
17;"Q1";"TO-220-3_Vertical";1;"TIP120";;;
18;"5V1,5V2";"TestPoint_Pad_D2.0mm";2;"5V";;;
19;"GND3,GND2,GND1";"TestPoint_Pad_D2.0mm";3;"GND";;;
20;"STEP2,STEP1";"TestPoint_Pad_D2.0mm";2;"STEP";;;
21;"DIR2,DIR1";"TestPoint_Pad_D2.0mm";2;"DIR";;;
22;"VMOT1";"TestPoint_Pad_D2.0mm";1;"VMOT";;;
23;"J10";"PinHeader_1x04_P2.54mm_Vertical";1;"Motor Conn L";;;
24;"TXD1";"TestPoint_Pad_D2.0mm";1;"TXD";;;
25;"J11";"PinHeader_1x04_P2.54mm_Vertical";1;"Motor Conn R";;;
26;"A1";"PinSocket_2x20_P2.54mm_Vertical";1;"Raspberry Pi Zero";;;
