Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Raspberry Pi Zero","PinSocket_2x20_P2.54mm_Vertical",-119.380000,-60.706000,90.000000,bottom
"A2.1","Add Conn","PinHeader_1x08_P2.54mm_Vertical",-180.188000,-118.783000,-90.000000,bottom
"A2.2","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",-202.028000,-118.783000,-90.000000,bottom
"A2.3","Add Conn","PinHeader_1x08_P2.54mm_Vertical",-215.748000,-70.523000,90.000000,bottom
"A2.4","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",-180.188000,-70.513000,-90.000000,bottom
"U1.1","Conn_01x16","PinSocket_1x16_P2.54mm_Vertical",-89.538000,-125.733000,0.000000,bottom
"U1.2","Conn_01x08","PinSocket_1x08_P2.54mm_Vertical",-74.298000,-97.793000,180.000000,bottom
"U2.1","Conn_01x16","PinSocket_1x16_P2.54mm_Vertical",-112.398000,-125.733000,0.000000,bottom
"U2.2","Conn_01x08","PinSocket_1x08_P2.54mm_Vertical",-97.158000,-97.793000,180.000000,bottom
"U3.1","Conn_01x16","PinSocket_1x16_P2.54mm_Vertical",-135.268000,-125.733000,0.000000,bottom
"U3.2","Conn_01x08","PinSocket_1x08_P2.54mm_Vertical",-120.028000,-97.793000,180.000000,bottom
"U4.1","Conn_01x16","PinSocket_1x16_P2.54mm_Vertical",-158.118000,-125.723000,0.000000,bottom
"U4.2","Conn_01x08","PinSocket_1x08_P2.54mm_Vertical",-142.878000,-97.793000,180.000000,bottom
"A3.1","Conn_01x08","PinSocket_1x08_P2.54mm_Vertical",212.728000,-88.893000,-90.000000,top
"A3.2","Conn_01x08","PinSocket_1x08_P2.54mm_Vertical",212.728000,-76.193000,-90.000000,top
"A4.1","Conn_01x08","PinSocket_1x08_P2.54mm_Vertical",212.718000,-110.483000,-90.000000,top
"A4.2","Conn_01x08","PinSocket_1x08_P2.54mm_Vertical",212.728000,-97.783000,-90.000000,top
"B1","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",154.258000,-67.903000,0.000000,top
"B2","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",154.258000,-63.153000,0.000000,top
"C1","100uF","CP_Radial_D5.0mm_P2.50mm",223.520000,-84.020000,90.000000,top
"C2","100uF","CP_Radial_D5.0mm_P2.50mm",223.520000,-105.410000,90.000000,top
"J1"," ","PinHeader_2x04_P2.54mm_Vertical",78.115000,-121.925000,90.000000,top
"J2"," ","PinHeader_2x04_P2.54mm_Vertical",78.115000,-101.605000,90.000000,top
"J3"," ","PinHeader_2x04_P2.54mm_Vertical",100.975000,-121.290000,90.000000,top
"J4"," ","PinHeader_2x04_P2.54mm_Vertical",100.975000,-101.600000,90.000000,top
"J5"," ","PinHeader_2x04_P2.54mm_Vertical",123.835000,-121.920000,90.000000,top
"J6"," ","PinHeader_2x04_P2.54mm_Vertical",123.825000,-101.630000,90.000000,top
"J7"," ","PinHeader_2x04_P2.54mm_Vertical",146.685000,-121.920000,90.000000,top
"J8"," ","PinHeader_2x04_P2.54mm_Vertical",146.685000,-101.600000,90.000000,top
"J9","E_Magnet","PinHeader_1x02_P2.54mm_Vertical",172.720000,-97.790000,90.000000,top
"J10","Motor Conn L","PinHeader_1x04_P2.54mm_Vertical",236.220000,-80.030000,0.000000,top
"J11","Motor Conn R","PinHeader_1x04_P2.54mm_Vertical",236.220000,-101.600000,0.000000,top
"J12","Endstop X","PinHeader_1x02_P2.54mm_Vertical",172.720000,-87.630000,90.000000,top
"J13","Endstop Y","PinHeader_1x02_P2.54mm_Vertical",172.720000,-80.010000,90.000000,top
"J14","Barrel_Jack","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",243.840000,-71.120000,90.000000,top
"J15","Add Conn","PinSocket_1x20_P2.54mm_Vertical",119.380000,-67.081000,-90.000000,top
"J16","Add Conn","PinSocket_1x20_P2.54mm_Vertical",119.380000,-57.150000,-90.000000,top
"J17","Add Conn","PinHeader_1x08_P2.54mm_Vertical",180.190000,-121.920000,90.000000,top
"J18","Add Conn","PinHeader_1x06_P2.54mm_Vertical",202.030000,-121.920000,90.000000,top
"J19","Add Conn","PinHeader_1x06_P2.54mm_Vertical",192.840000,-67.564000,-90.000000,top
"Q1","TIP120","TO-220-3_Vertical",172.720000,-110.490000,0.000000,top
"R1","R","R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",107.858000,-52.553000,180.000000,top
"R2","R","R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",148.428000,-71.893000,0.000000,top
